wavelength_A,throughput_smooth,throughput_std_smooth,throughput_mean_raw,n_configs
6370.0,0.24744,0.01124,0.24712,6
6375.0,0.24782,0.01122,0.24756,6
6380.0,0.24821,0.01120,0.24800,6
6385.0,0.24861,0.01118,0.24844,6
6390.0,0.24901,0.01114,0.24889,6
6395.0,0.24942,0.01110,0.24934,6
6400.0,0.24984,0.01106,0.24979,6
6405.0,0.25025,0.01101,0.25024,6
6410.0,0.25067,0.01097,0.25069,6
6415.0,0.25109,0.01092,0.25114,6
6420.0,0.25151,0.01087,0.25159,6
6425.0,0.25192,0.01083,0.25203,6
6430.0,0.25233,0.01079,0.25247,6
6435.0,0.25273,0.01075,0.25291,6
6440.0,0.25313,0.01072,0.25335,6
6445.0,0.25352,0.01069,0.25378,6
6450.0,0.25390,0.01067,0.25420,6
6455.0,0.25428,0.01065,0.25462,6
6460.0,0.25464,0.01064,0.25504,6
6465.0,0.25499,0.01065,0.25545,6
6470.0,0.25533,0.01066,0.25586,6
6475.0,0.25566,0.01068,0.25634,7
6480.0,0.25597,0.01071,0.25661,7
6485.0,0.25628,0.01076,0.25686,7
6490.0,0.25657,0.01082,0.25709,7
6495.0,0.25684,0.01089,0.25731,7
6500.0,0.25711,0.01098,0.25752,7
6505.0,0.25736,0.01107,0.25772,7
6510.0,0.25759,0.01118,0.25791,7
6515.0,0.25782,0.01131,0.25811,7
6520.0,0.25803,0.01144,0.25830,7
6525.0,0.25823,0.01158,0.25849,7
6530.0,0.25843,0.01173,0.25868,7
6535.0,0.25861,0.01190,0.25887,7
6540.0,0.25878,0.01206,0.25907,7
6545.0,0.25894,0.01223,0.25927,7
6550.0,0.25910,0.01241,0.25948,7
6555.0,0.25925,0.01258,0.25969,7
6560.0,0.25939,0.01276,0.25991,7
6565.0,0.25953,0.01294,0.26013,7
6570.0,0.25967,0.01311,0.26036,7
6575.0,0.25982,0.01328,0.26060,7
6580.0,0.25997,0.01344,0.25930,8
6585.0,0.26012,0.01360,0.25932,8
6590.0,0.26028,0.01375,0.25940,8
6595.0,0.26045,0.01389,0.25954,8
6600.0,0.26063,0.01402,0.25971,8
6605.0,0.26083,0.01414,0.25993,8
6610.0,0.26104,0.01425,0.26018,8
6615.0,0.26127,0.01435,0.26046,8
6620.0,0.26151,0.01444,0.26077,8
6625.0,0.26177,0.01452,0.26110,8
6630.0,0.26205,0.01458,0.26145,8
6635.0,0.26234,0.01464,0.26181,8
6640.0,0.26265,0.01469,0.26219,8
6645.0,0.26297,0.01472,0.26258,8
6650.0,0.26330,0.01475,0.26298,8
6655.0,0.26365,0.01477,0.26339,8
6660.0,0.26400,0.01478,0.26380,8
6665.0,0.26436,0.01479,0.26421,8
6670.0,0.26473,0.01479,0.26463,8
6675.0,0.26511,0.01479,0.26504,8
6680.0,0.26549,0.01479,0.26546,8
6685.0,0.26587,0.01479,0.26588,8
6690.0,0.26625,0.01478,0.26629,8
6695.0,0.26664,0.01477,0.26670,8
6700.0,0.26702,0.01477,0.26711,8
6705.0,0.26740,0.01476,0.26751,8
6710.0,0.26778,0.01476,0.26790,8
6715.0,0.26816,0.01475,0.26830,8
6720.0,0.26854,0.01475,0.26868,8
6725.0,0.26891,0.01475,0.26907,8
6730.0,0.26928,0.01475,0.26944,8
6735.0,0.26965,0.01476,0.26981,8
6740.0,0.27001,0.01476,0.27017,8
6745.0,0.27037,0.01477,0.27053,8
6750.0,0.27072,0.01478,0.27088,8
6755.0,0.27107,0.01479,0.27123,8
6760.0,0.27141,0.01480,0.27157,8
6765.0,0.27175,0.01481,0.27191,8
6770.0,0.27208,0.01483,0.27224,8
6775.0,0.27241,0.01484,0.27256,8
6780.0,0.27273,0.01486,0.27288,8
6785.0,0.27306,0.01487,0.27319,8
6790.0,0.27337,0.01489,0.27350,8
6795.0,0.27368,0.01491,0.27381,8
6800.0,0.27399,0.01492,0.27411,8
6805.0,0.27430,0.01494,0.27441,8
6810.0,0.27460,0.01495,0.27471,8
6815.0,0.27490,0.01497,0.27500,8
6820.0,0.27519,0.01498,0.27529,8
6825.0,0.27549,0.01499,0.27557,8
6830.0,0.27578,0.01500,0.27585,8
6835.0,0.27606,0.01501,0.27614,8
6840.0,0.27635,0.01502,0.27641,8
6845.0,0.27663,0.01503,0.27669,8
6850.0,0.27691,0.01503,0.27697,8
6855.0,0.27719,0.01503,0.27724,8
6860.0,0.27747,0.01503,0.27751,8
6865.0,0.27775,0.01503,0.27778,8
6870.0,0.27802,0.01502,0.27805,8
6875.0,0.27830,0.01502,0.27832,8
6880.0,0.27857,0.01501,0.27859,8
6885.0,0.27884,0.01499,0.27886,8
6890.0,0.27911,0.01498,0.27913,8
6895.0,0.27938,0.01496,0.27940,8
6900.0,0.27965,0.01494,0.27966,8
6905.0,0.27992,0.01491,0.27993,8
6910.0,0.28019,0.01489,0.28020,8
6915.0,0.28045,0.01486,0.28046,8
6920.0,0.28072,0.01483,0.28073,8
6925.0,0.28099,0.01479,0.28100,8
6930.0,0.28126,0.01475,0.28126,8
6935.0,0.28152,0.01471,0.28153,8
6940.0,0.28179,0.01467,0.28179,8
6945.0,0.28205,0.01463,0.28206,8
6950.0,0.28232,0.01458,0.28233,8
6955.0,0.28258,0.01453,0.28259,8
6960.0,0.28285,0.01448,0.28286,8
6965.0,0.28311,0.01442,0.28312,8
6970.0,0.28337,0.01436,0.28339,8
6975.0,0.28364,0.01431,0.28365,8
6980.0,0.28390,0.01425,0.28392,8
6985.0,0.28416,0.01418,0.28418,8
6990.0,0.28442,0.01412,0.28445,8
6995.0,0.28468,0.01405,0.28471,8
7000.0,0.28494,0.01399,0.28497,8
7005.0,0.28519,0.01392,0.28523,8
7010.0,0.28545,0.01385,0.28549,8
7015.0,0.28571,0.01378,0.28575,8
7020.0,0.28596,0.01371,0.28600,8
7025.0,0.28621,0.01363,0.28626,8
7030.0,0.28646,0.01356,0.28651,8
7035.0,0.28671,0.01349,0.28677,8
7040.0,0.28696,0.01341,0.28702,8
7045.0,0.28720,0.01334,0.28727,8
7050.0,0.28744,0.01326,0.28751,8
7055.0,0.28769,0.01318,0.28776,8
7060.0,0.28792,0.01311,0.28800,8
7065.0,0.28816,0.01303,0.28824,8
7070.0,0.28839,0.01295,0.28848,8
7075.0,0.28862,0.01288,0.28871,8
7080.0,0.28885,0.01280,0.28894,8
7085.0,0.28908,0.01272,0.28917,8
7090.0,0.28930,0.01265,0.28940,8
7095.0,0.28952,0.01257,0.28962,8
7100.0,0.28974,0.01249,0.28984,8
7105.0,0.28995,0.01241,0.29006,8
7110.0,0.29016,0.01234,0.29027,8
7115.0,0.29037,0.01226,0.29048,8
7120.0,0.29057,0.01218,0.29068,8
7125.0,0.29077,0.01211,0.29089,8
7130.0,0.29096,0.01203,0.29108,8
7135.0,0.29115,0.01195,0.29128,8
7140.0,0.29134,0.01187,0.29147,8
7145.0,0.29153,0.01180,0.29165,8
7150.0,0.29171,0.01172,0.29184,8
7155.0,0.29188,0.01164,0.29201,8
7160.0,0.29205,0.01156,0.29219,8
7165.0,0.29222,0.01149,0.29236,8
7170.0,0.29239,0.01141,0.29252,8
7175.0,0.29255,0.01133,0.29268,8
7180.0,0.29270,0.01125,0.29284,8
7185.0,0.29285,0.01117,0.29299,8
7190.0,0.29300,0.01109,0.29314,8
7195.0,0.29315,0.01101,0.29328,8
7200.0,0.29328,0.01093,0.29342,8
7205.0,0.29342,0.01084,0.29356,8
7210.0,0.29355,0.01076,0.29369,8
7215.0,0.29368,0.01068,0.29381,8
7220.0,0.29380,0.01060,0.29393,8
7225.0,0.29392,0.01051,0.29405,8
7230.0,0.29403,0.01043,0.29416,8
7235.0,0.29414,0.01034,0.29427,8
7240.0,0.29425,0.01025,0.29438,8
7245.0,0.29435,0.01017,0.29448,8
7250.0,0.29445,0.01008,0.29457,8
7255.0,0.29455,0.00999,0.29467,8
7260.0,0.29464,0.00990,0.29476,8
7265.0,0.29472,0.00981,0.29484,8
7270.0,0.29481,0.00973,0.29492,8
7275.0,0.29489,0.00964,0.29500,8
7280.0,0.29497,0.00955,0.29507,8
7285.0,0.29504,0.00946,0.29515,8
7290.0,0.29511,0.00937,0.29521,8
7295.0,0.29518,0.00928,0.29528,8
7300.0,0.29524,0.00919,0.29534,8
7305.0,0.29531,0.00911,0.29540,8
