    INFO | 2026-08-18 10:19:17 | pypeitsetup.py:from_file_root:197 | Found 43 keck_kcrm raw files.
    INFO | 2026-08-18 10:19:17 | metadata.py:_build:206 | Building metadata for 43 files.
    INFO | 2026-08-18 10:19:17 | metadata.py:_build:235 | Adding metadata for KR.20250526.01216.84.fits
    INFO | 2026-08-18 10:19:17 | metadata.py:_build:235 | Adding metadata for KR.20250526.10331.62.fits
    INFO | 2026-08-18 10:19:17 | metadata.py:_build:235 | Adding metadata for KR.20250526.10375.48.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.10419.34.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.10463.20.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.10507.60.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.10550.92.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.10594.78.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12309.40.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12353.26.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12397.13.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12440.99.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12484.85.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12528.71.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12572.57.fits
    INFO | 2026-08-18 10:19:18 | metadata.py:_build:235 | Adding metadata for KR.20250526.12763.31.fits
