grating,wavelength_A,composite_pct,sd_pct,n_blazes,n_effective
RL,5750,18.250,0.412,3,1.23
RL,5751,18.276,0.412,3,1.24
RL,5752,18.302,0.412,3,1.26
RL,5753,18.328,0.412,3,1.27
RL,5754,18.353,0.412,3,1.29
RL,5755,18.379,0.412,3,1.30
RL,5756,18.405,0.412,3,1.31
RL,5757,18.430,0.412,3,1.33
RL,5758,18.456,0.412,3,1.34
RL,5759,18.481,0.412,3,1.35
RL,5760,18.506,0.412,3,1.37
RL,5761,18.531,0.412,3,1.38
RL,5762,18.556,0.412,3,1.39
RL,5763,18.581,0.412,3,1.41
RL,5764,18.606,0.412,3,1.42
RL,5765,18.631,0.412,3,1.44
RL,5766,18.656,0.412,3,1.45
RL,5767,18.680,0.412,3,1.46
RL,5768,18.705,0.412,3,1.48
RL,5769,18.729,0.412,3,1.49
RL,5770,18.754,0.413,3,1.50
RL,5771,18.778,0.413,3,1.52
RL,5772,18.802,0.413,3,1.53
RL,5773,18.826,0.413,3,1.55
RL,5774,18.850,0.413,3,1.56
RL,5775,18.874,0.413,3,1.57
RL,5776,18.898,0.413,3,1.59
RL,5777,18.922,0.413,3,1.60
RL,5778,18.945,0.413,3,1.61
RL,5779,18.969,0.413,3,1.63
RL,5780,18.993,0.414,3,1.64
RL,5781,19.016,0.414,3,1.66
RL,5782,19.039,0.414,3,1.67
RL,5783,19.063,0.414,3,1.68
RL,5784,19.086,0.414,3,1.70
RL,5785,19.109,0.414,3,1.71
RL,5786,19.132,0.414,3,1.72
RL,5787,19.155,0.415,3,1.74
RL,5788,19.178,0.415,3,1.75
RL,5789,19.201,0.415,3,1.76
RL,5790,19.223,0.415,3,1.78
RL,5791,19.246,0.415,3,1.79
RL,5792,19.268,0.415,3,1.80
RL,5793,19.291,0.415,3,1.82
RL,5794,19.313,0.416,3,1.83
RL,5795,19.336,0.416,3,1.84
RL,5796,19.358,0.416,3,1.86
RL,5797,19.380,0.416,3,1.87
RL,5798,19.402,0.416,3,1.88
RL,5799,19.424,0.416,3,1.89
RL,5800,19.446,0.417,3,1.91
RL,5801,19.468,0.417,3,1.92
RL,5802,19.489,0.417,3,1.93
RL,5803,19.511,0.417,3,1.95
RL,5804,19.533,0.417,3,1.96
RL,5805,19.554,0.418,3,1.97
RL,5806,19.576,0.418,3,1.98
RL,5807,19.597,0.418,3,2.00
RL,5808,19.618,0.418,3,2.01
RL,5809,19.639,0.418,3,2.02
RL,5810,19.660,0.419,3,2.03
RL,5811,19.682,0.419,3,2.04
RL,5812,19.702,0.419,3,2.06
RL,5813,19.723,0.419,3,2.07
RL,5814,19.744,0.420,3,2.08
RL,5815,19.765,0.420,3,2.09
RL,5816,19.786,0.420,3,2.10
RL,5817,19.806,0.420,3,2.11
RL,5818,19.827,0.421,3,2.13
RL,5819,19.847,0.421,3,2.14
RL,5820,19.867,0.421,3,2.15
RL,5821,19.888,0.421,3,2.16
RL,5822,19.908,0.422,3,2.17
RL,5823,19.928,0.422,3,2.18
RL,5824,19.948,0.422,3,2.19
RL,5825,19.968,0.422,3,2.20
RL,5826,19.988,0.423,3,2.21
RL,5827,20.008,0.423,3,2.22
RL,5828,20.027,0.423,3,2.23
RL,5829,20.047,0.424,3,2.24
RL,5830,20.067,0.424,3,2.25
RL,5831,20.086,0.424,3,2.26
RL,5832,20.106,0.424,3,2.27
RL,5833,20.125,0.425,3,2.28
RL,5834,20.144,0.425,3,2.29
RL,5835,20.164,0.425,3,2.30
RL,5836,20.183,0.426,3,2.31
RL,5837,20.202,0.426,3,2.32
RL,5838,20.221,0.426,3,2.33
RL,5839,20.240,0.427,3,2.34
RL,5840,20.259,0.427,3,2.35
RL,5841,20.277,0.427,3,2.36
RL,5842,20.296,0.428,3,2.37
RL,5843,20.315,0.428,3,2.38
RL,5844,20.333,0.428,3,2.39
RL,5845,20.352,0.429,3,2.39
RL,5846,20.370,0.429,3,2.40
RL,5847,20.389,0.429,3,2.41
RL,5848,20.407,0.430,3,2.42
RL,5849,20.425,0.430,3,2.43
RL,5850,20.444,0.430,3,2.44
RL,5851,20.462,0.431,3,2.45
RL,5852,20.480,0.431,3,2.46
RL,5853,20.498,0.431,3,2.46
RL,5854,20.516,0.432,3,2.47
RL,5855,20.533,0.432,3,2.48
RL,5856,20.551,0.432,3,2.49
RL,5857,20.569,0.433,3,2.50
RL,5858,20.586,0.433,3,2.50
RL,5859,20.604,0.434,3,2.51
RL,5860,20.621,0.434,3,2.52
RL,5861,20.639,0.434,3,2.53
RL,5862,20.656,0.435,3,2.54
RL,5863,20.673,0.435,3,2.54
RL,5864,20.691,0.436,3,2.55
RL,5865,20.708,0.436,3,2.56
RL,5866,20.725,0.436,3,2.57
RL,5867,20.742,0.437,3,2.57
RL,5868,20.759,0.437,3,2.58
RL,5869,20.776,0.438,3,2.59
RL,5870,20.793,0.438,3,2.59
RL,5871,20.809,0.438,3,2.60
RL,5872,20.826,0.439,3,2.61
RL,5873,20.843,0.439,3,2.61
RL,5874,20.859,0.440,3,2.62
RL,5875,20.876,0.440,3,2.63
RL,5876,20.892,0.440,3,2.63
RL,5877,20.908,0.441,3,2.64
RL,5878,20.925,0.441,3,2.65
RL,5879,20.941,0.442,3,2.65
RL,5880,20.957,0.442,3,2.66
