# RH4 arc line list -- ThAr, 9200-10800 A, amplitude >= 100
# Built by build_rh4_linelist.py from ThAr_lines.dat
# PypeIt's default KCWI list (FeI/ArI/ArII) holds 4 lines above 9550 A; RH4 is centred at 9950.
# Creation Date: 2018-Jan-09
|   ion |       wave | NIST | Instr | amplitude |      Source |
|  Th I |  9589.6566 |    1 |     0 |       200 |        NIST |
|  Th I |  9592.9732 |    1 |     0 |       160 |        NIST |
|  Th I |   9598.022 |    1 |     0 |       530 |        NIST |
| Ar II |  9604.5586 |    1 |     0 |       110 | NIST+MURPHY |
|  Th I |  9611.1215 |    1 |     0 |       450 | NIST+MURPHY |
|  Th I |  9611.5702 |    1 |     0 |       130 |        NIST |
|  Th I |  9616.2929 |    1 |     0 |       200 |        NIST |
| Th II |  9616.3275 |    1 |     0 |       870 |        NIST |
|  Th I |  9621.8557 |    1 |     0 |       120 |        NIST |
|  Th I |  9623.6337 |    1 |     0 |       440 |        NIST |
|  Th I |  9627.8379 |    1 |     0 |       500 | NIST+MURPHY |
|  Th I |  9630.3107 |    1 |     0 |       110 |        NIST |
|  Th I |  9632.2098 |    1 |     0 |      4600 | NIST+MURPHY |
|  Th I |  9633.3852 |    1 |     0 |       110 |        NIST |
|  Th I |  9635.2852 |    1 |     0 |      7900 | NIST+MURPHY |
| Th II |  9645.1217 |    1 |     0 |       270 | NIST+MURPHY |
| Th II |   9654.149 |    1 |     0 |       180 |        NIST |
|  Th I |  9659.0896 |    1 |     0 |       160 |        NIST |
|  Ar I |   9660.435 |    1 |     0 |     25000 |        NIST |
|  Th I |  9666.2933 |    1 |     0 |       180 |        NIST |
|  Th I |  9667.3483 |    1 |     0 |      8300 | NIST+MURPHY |
|  Th I |  9677.4443 |    1 |     0 |       370 | NIST+MURPHY |
|  Th I |  9678.7566 |    1 |     0 |       270 |        NIST |
|  Th I |  9679.4899 |    1 |     0 |       470 |        NIST |
|  Th I |  9697.6896 |    1 |     0 |       270 | NIST+MURPHY |
|  Th I |  9703.2229 |    1 |     0 |     15000 | NIST+MURPHY |
|  Th I |  9704.2366 |    1 |     0 |       110 |        NIST |
|  Th I |  9704.9324 |    1 |     0 |       660 | NIST+MURPHY |
|  Th I |  9718.8062 |    1 |     0 |       190 | NIST+MURPHY |
|  Th I |  9721.1569 |    1 |     0 |       210 |        NIST |
|  Th I |   9738.882 |    1 |     0 |       150 | NIST+MURPHY |
|  Th I |   9746.233 |    1 |     0 |      1000 |        NIST |
|  Th I |  9749.1351 |    1 |     0 |     27000 | NIST+MURPHY |
|  Th I |  9756.2662 |    1 |     0 |       320 | NIST+MURPHY |
|  Th I |  9759.8949 |    1 |     0 |       150 | NIST+MURPHY |
| Ar II |  9761.3126 |    1 |     0 |       107 | NIST+MURPHY |
|  Th I |  9772.2134 |    1 |     0 |       170 |        NIST |
| Ar II |  9776.2476 |    1 |     0 |       112 | NIST+MURPHY |
|  Th I |  9782.1345 |    1 |     0 |       140 |        NIST |
|  Ar I |   9787.186 |    1 |     0 |      4500 |        NIST |
|  Th I |  9788.0357 |    1 |     0 |       110 |        NIST |
|  Th I |  9792.1951 |    1 |     0 |       270 | NIST+MURPHY |
|  Th I |  9798.8858 |    1 |     0 |      2100 | NIST+MURPHY |
|  Th I |  9799.9318 |    1 |     0 |       120 |        NIST |
|  Th I |  9803.0499 |    1 |     0 |       130 | NIST+MURPHY |
| Ar II |  9806.3781 |    1 |     0 |       102 | NIST+MURPHY |
|  Th I |  9815.3878 |    1 |     0 |      9900 | NIST+MURPHY |
|  Th I |  9817.6487 |    1 |     0 |       120 |        NIST |
| Th II |   9819.727 |    1 |     0 |       140 |        NIST |
|  Th I |  9821.8701 |    1 |     0 |       120 | NIST+MURPHY |
|  Th I |  9829.1434 |    1 |     0 |     24000 | NIST+MURPHY |
|  Th I |  9834.3645 |    1 |     0 |       200 | NIST+MURPHY |
|  Th I |  9836.1189 |    1 |     0 |     32000 | NIST+MURPHY |
| Th II |  9836.7034 |    1 |     0 |       230 |        NIST |
|  Th I |  9843.6152 |    1 |     0 |       100 | NIST+MURPHY |
|  Th I |  9848.3828 |    1 |     0 |       140 |        NIST |
| Ar II |  9852.1589 |    1 |     0 |       132 | NIST+MURPHY |
| Ar II |   9856.763 |    1 |     0 |       129 | NIST+MURPHY |
|  Th I |  9858.4441 |    1 |     0 |       660 | NIST+MURPHY |
|  Th I |   9864.828 |    1 |     0 |       530 |        NIST |
| Th II |  9867.3015 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I |  9868.1535 |    1 |     0 |       120 | NIST+MURPHY |
|  Th I |  9870.5955 |    1 |     0 |       200 | NIST+MURPHY |
|  Th I |  9871.6261 |    1 |     0 |       170 | NIST+MURPHY |
|  Th I |  9874.7011 |    1 |     0 |       220 | NIST+MURPHY |
|  Th I |  9875.3365 |    1 |     0 |       110 | NIST+MURPHY |
|  Th I |  9876.5219 |    1 |     0 |       640 | NIST+MURPHY |
|  Th I |  9898.7612 |    1 |     0 |       530 | NIST+MURPHY |
|  Th I |  9901.0668 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I |  9905.0714 |    1 |     0 |       620 | NIST+MURPHY |
|  Th I |  9910.1878 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I |  9913.5543 |    1 |     0 |       140 |        NIST |
|  Th I |  9913.8299 |    1 |     0 |       700 |        NIST |
|  Th I |  9914.9169 |    1 |     0 |       160 |        NIST |
|  Th I |  9918.8386 |    1 |     0 |       110 |        NIST |
|  Th I |  9930.0466 |    1 |     0 |       220 |        NIST |
|  Th I |  9932.5316 |    1 |     0 |       240 |        NIST |
|  Th I |  9932.7656 |    1 |     0 |       310 |        NIST |
|  Th I |  9937.4407 |    1 |     0 |       150 |        NIST |
|  Th I |  9937.9228 |    1 |     0 |       370 |        NIST |
|  Th I |    9941.56 |    1 |     0 |       150 |        NIST |
| Th II |  9945.7904 |    1 |     0 |       770 |        NIST |
|  Th I |  9955.0985 |    1 |     0 |       570 |        NIST |
|  Th I |  9966.2223 |    1 |     0 |       480 | NIST+MURPHY |
|  Th I |  9973.1955 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I |  9977.4235 |    1 |     0 |       670 | NIST+MURPHY |
|  Th I |   9987.787 |    1 |     0 |      2300 | NIST+MURPHY |
|  Th I |  9990.3727 |    1 |     0 |      4900 | NIST+MURPHY |
|  Th I |  9992.6755 |    1 |     0 |       170 | NIST+MURPHY |
|  Th I |  9995.3876 |    1 |     0 |       280 | NIST+MURPHY |
| Th II |  9996.6025 |    1 |     0 |       140 |        NIST |
|  Th I | 10001.2498 |    1 |     0 |       130 |        NIST |
|  Th I | 10001.7007 |    1 |     0 |       260 | NIST+MURPHY |
|  Th I | 10014.1395 |    1 |     0 |       270 | NIST+MURPHY |
