# RH3 arc line list -- ThAr, 7900-9100 A, amplitude >= 300
# Built by build_rh4_linelist.py from ThAr_lines.dat
# RH3's FeAr catalogue holds 23 lines in band, enough to FIT a solution but not enough for holy-grail to IDENTIFY one: it found 5-9 lines per slit and solved 0 of 24.
# Creation Date: 2018-Jan-09
|   ion |      wave | NIST | Instr | amplitude |      Source |
|  Th I | 8414.2293 |    1 |     0 |       690 |        NIST |
|  Th I | 8419.0398 |    1 |     0 |     21000 | NIST+MURPHY |
|  Th I | 8420.3114 |    1 |     0 |      3900 | NIST+MURPHY |
|  Th I | 8423.5395 |    1 |     0 |     11000 | NIST+MURPHY |
|  Th I | 8426.3418 |    1 |     0 |       660 |        NIST |
|  Ar I |  8426.963 |    1 |     0 |     20000 |        NIST |
|  Th I | 8447.5294 |    1 |     0 |       310 |        NIST |
|  Th I | 8447.8077 |    1 |     0 |      6300 | NIST+MURPHY |
|  Th I | 8448.8324 |    1 |     0 |     16000 | NIST+MURPHY |
|  Th I | 8466.5623 |    1 |     0 |      2300 | NIST+MURPHY |
|  Th I | 8467.9966 |    1 |     0 |       520 | NIST+MURPHY |
|  Th I | 8474.1539 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I | 8480.6874 |    1 |     0 |     15000 |        NIST |
|  Th I | 8498.6696 |    1 |     0 |       390 |        NIST |
|  Th I | 8498.7946 |    1 |     0 |       500 |        NIST |
| Th II |  8499.053 |    1 |     0 |       330 |        NIST |
| Th II | 8503.0154 |    1 |     0 |       350 | NIST+MURPHY |
|  Th I |  8512.962 |    1 |     0 |      1600 | NIST+MURPHY |
|  Th I |  8518.895 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 8521.6727 |    1 |     0 |       690 |        NIST |
|  Ar I |  8523.783 |    1 |     0 |     15000 |        NIST |
|  Th I |  8542.139 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th I | 8546.0699 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I | 8546.9428 |    1 |     0 |       690 |        NIST |
|  Th I | 8557.2941 |    1 |     0 |      2800 | NIST+MURPHY |
|  Th I | 8558.6754 |    1 |     0 |      1300 | NIST+MURPHY |
|  Th I | 8575.4756 |    1 |     0 |      7500 | NIST+MURPHY |
|  Th I | 8579.6335 |    1 |     0 |      1400 | NIST+MURPHY |
| Th II | 8594.1992 |    1 |     0 |       440 | NIST+MURPHY |
|  Th I | 8595.4691 |    1 |     0 |       610 | NIST+MURPHY |
|  Th I |  8618.589 |    1 |     0 |       700 | NIST+MURPHY |
|  Th I | 8623.6912 |    1 |     0 |       330 | NIST+MURPHY |
|  Th I | 8640.7353 |    1 |     0 |       660 | NIST+MURPHY |
|  Th I |  8641.815 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th I | 8647.6838 |    1 |     0 |       910 | NIST+MURPHY |
|  Th I | 8651.5247 |    1 |     0 |       320 | NIST+MURPHY |
|  Th I | 8658.2537 |    1 |     0 |       750 |        NIST |
|  Th I | 8667.8655 |    1 |     0 |      6700 | NIST+MURPHY |
|  Ar I |  8670.325 |    1 |     0 |      4500 |        NIST |
|  Th I | 8670.4962 |    1 |     0 |       760 |        NIST |
|  Th I |  8681.823 |    1 |     0 |       300 |        NIST |
|  Th I | 8690.2347 |    1 |     0 |       590 | NIST+MURPHY |
|  Th I | 8707.2506 |    1 |     0 |       320 | NIST+MURPHY |
|  Th I | 8709.7501 |    1 |     0 |       310 | NIST+MURPHY |
|  Th I |  8711.626 |    1 |     0 |      3000 | NIST+MURPHY |
|  Th I | 8734.8233 |    1 |     0 |      1000 |        NIST |
|  Th I | 8736.4222 |    1 |     0 |       390 | NIST+MURPHY |
|  Th I | 8742.1816 |    1 |     0 |       370 |        NIST |
|  Th I | 8750.4332 |    1 |     0 |     10000 | NIST+MURPHY |
|  Th I | 8751.5726 |    1 |     0 |      1100 |        NIST |
|  Th I | 8760.6484 |    1 |     0 |      7400 | NIST+MURPHY |
|  Th I | 8762.8551 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 8775.2143 |    1 |     0 |      1700 | NIST+MURPHY |
|  Th I | 8777.9828 |    1 |     0 |      3300 | NIST+MURPHY |
| Th II | 8786.9743 |    1 |     0 |       370 |        NIST |
|  Th I | 8794.4711 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 8800.5885 |    1 |     0 |       310 |        NIST |
|  Th I | 8807.0071 |    1 |     0 |       820 | NIST+MURPHY |
| Th II | 8818.5936 |    1 |     0 |       370 | NIST+MURPHY |
|  Th I | 8820.1641 |    1 |     0 |       340 | NIST+MURPHY |
|  Th I | 8822.6525 |    1 |     0 |       650 |        NIST |
|  Th I | 8822.8434 |    1 |     0 |      1200 |        NIST |
|  Th I | 8843.6106 |    1 |     0 |      2400 | NIST+MURPHY |
| Th II |  8844.502 |    1 |     0 |       440 |        NIST |
|  Th I | 8851.7447 |    1 |     0 |       350 | NIST+MURPHY |
|  Th I | 8857.3389 |    1 |     0 |       360 | NIST+MURPHY |
|  Th I | 8861.4501 |    1 |     0 |       430 | NIST+MURPHY |
|  Th I |   8868.01 |    1 |     0 |       580 |        NIST |
|  Th I | 8871.2681 |    1 |     0 |      4900 | NIST+MURPHY |
|  Th I | 8877.6685 |    1 |     0 |       650 | NIST+MURPHY |
|  Th I | 8891.6344 |    1 |     0 |       550 | NIST+MURPHY |
|  Th I | 8895.4278 |    1 |     0 |      1400 | NIST+MURPHY |
|  Th I |  8895.981 |    1 |     0 |       430 | NIST+MURPHY |
|  Th I | 8913.3028 |    1 |     0 |       420 | NIST+MURPHY |
|  Th I | 8930.5434 |    1 |     0 |       400 | NIST+MURPHY |
|  Th I | 8951.5793 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I | 8958.3048 |    1 |     0 |      1200 | NIST+MURPHY |
| Th II | 8960.4449 |    1 |     0 |       410 | NIST+MURPHY |
|  Th I | 8970.1018 |    1 |     0 |     19000 | NIST+MURPHY |
|  Th I | 8972.3288 |    1 |     0 |       950 | NIST+MURPHY |
|  Th I | 8989.8749 |    1 |     0 |       530 | NIST+MURPHY |
|  Th I | 8993.3611 |    1 |     0 |       300 | NIST+MURPHY |
|  Th I | 8997.6581 |    1 |     0 |       410 | NIST+MURPHY |
|  Th I | 9000.3463 |    1 |     0 |       770 |        NIST |
|  Th I |  9012.356 |    1 |     0 |       440 | NIST+MURPHY |
|  Th I | 9014.9998 |    1 |     0 |       740 | NIST+MURPHY |
|  Th I |  9019.065 |    1 |     0 |      2400 | NIST+MURPHY |
|  Th I | 9034.2981 |    1 |     0 |       990 | NIST+MURPHY |
|  Th I |  9040.374 |    1 |     0 |       790 | NIST+MURPHY |
| Th II | 9042.6041 |    1 |     0 |       670 |        NIST |
|  Th I | 9047.8355 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 9050.7333 |    1 |     0 |     24000 | NIST+MURPHY |
|  Th I | 9051.0085 |    1 |     0 |       400 |        NIST |
| Th II | 9055.9703 |    1 |     0 |       620 | NIST+MURPHY |
| Th II | 9065.0501 |    1 |     0 |       450 | NIST+MURPHY |
|  Th I | 9066.4473 |    1 |     0 |      2600 | NIST+MURPHY |
|  Th I | 9093.3135 |    1 |     0 |       890 | NIST+MURPHY |
|  Th I | 9097.3246 |    1 |     0 |      4500 |        NIST |
