    INFO | 2026-08-26 22:18:12 | inputfiles.py:from_file:136 | Loading the reduction file
    INFO | 2026-08-26 22:18:12 | inputfiles.py:from_file:214 | PypeIt input file loaded successfully.
    INFO | 2026-08-26 22:18:12 | inputfiles.py:vet:685 | PypeIt file successfully vetted.
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:82 | Loaded spectrograph keck_kcrm
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:83 | Setting configuration-specific parameters using KR.20250102.48933.18.fits.
 WARNING | 2026-08-26 22:18:12 | parset.py:to_config:662 | Selected configuration file already exists and will be overwritten!
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:99 | Compiling metadata
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:206 | Building metadata for 35 files.
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05179.40.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05213.72.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05247.38.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05313.68.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05342.24.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05369.78.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04722.80.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04765.94.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04809.80.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04853.66.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04897.52.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04941.38.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.04985.24.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05992.00.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06068.50.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06143.98.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05531.97.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05587.50.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05641.11.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05694.15.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05748.22.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05801.26.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06377.56.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06429.58.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06482.62.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06534.64.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06587.68.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.06639.70.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.48933.18.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.49217.76.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.49335.60.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.49408.50.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05417.72.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05445.26.fits
    INFO | 2026-08-26 22:18:12 | metadata.py:_build:235 | Adding metadata for KR.20250102.05473.82.fits
 WARNING | 2026-08-26 22:18:12 | metadata.py:_vet_instrument:180 | The instrument name in the headers of the raw files does not match the expected one! Found KCWI, expected KCRM.  You may have chosen the wrong PypeIt spectrograph name!
 WARNING | 2026-08-26 22:18:12 | metadata.py:get_frame_types:1384 | Removing existing frametype and framebit columns.
    INFO | 2026-08-26 22:18:12 | metadata.py:get_frame_types:1391 | Typing files
    INFO | 2026-08-26 22:18:12 | metadata.py:get_frame_types:1401 | Using user-provided frame types.
    INFO | 2026-08-26 22:18:12 | calibrations.py:check_for_calibs:1862 | Congrats!!  You passed the calibrations inspection!!
    INFO | 2026-08-26 22:18:12 | metadata.py:unique_configurations:696 | Setup column already set.  Finding unique configurations.
    INFO | 2026-08-26 22:18:12 | metadata.py:unique_configurations:706 | Found 1 unique configurations.
    INFO | 2026-08-26 22:18:12 | calibrations.py:association_summary:1731 | Calibration association file written to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/keck_kcrm_B.calib
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:133 | Setting reduction path to /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:134 | Calibration frames saved to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:135 | Science data output to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Science
    INFO | 2026-08-26 22:18:12 | pypeit.py:__init__:136 | Quality assessment plots output to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/QA
    INFO | 2026-08-26 22:18:12 | pypeit.py:reduce_calibID:311 | Found 4 science frames in calibration group 1.
    INFO | 2026-08-26 22:18:12 | exposure.py:reduce_exposure:406 | Reducing target feige34
Combining frames:
KR.20250102.48933.18.fits

    INFO | 2026-08-26 22:18:12 | exposure.py:reduce_exposure:417 | Detectors to work on: [1]
    INFO | 2026-08-26 22:18:12 | exposure.py:reduce_exposure:422 | Calibrating detector 1
    INFO | 2026-08-26 22:18:12 | pypeit_steps.py:calib_one:173 | Building/loading calibrations for detector 1
    INFO | 2026-08-26 22:18:12 | datamodel.py:from_file:1558 | Loading BiasImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Bias_B_1_DET01.fits
 WARNING | 2026-08-26 22:18:13 | calibrations.py:get_dark:606 | No raw dark frames found and unable to identify a relevant processed calibration frame.  Continuing...
    INFO | 2026-08-26 22:18:13 | keck_kcwi.py:get_rawimage:1426 | Reading KCWI file: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/fits/by_night/RM2/2025-01-01/KR.20250102.05179.40.fits
 WARNING | 2026-08-26 22:18:13 | keck_kcwi.py:bpm:820 | KCRM bad pixel mask is not available for ampmode=L2U2L1U1 binning=2,2
    INFO | 2026-08-26 22:18:13 | datamodel.py:from_file:1558 | Loading ArcImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Arc_B_1_DET01.fits
    INFO | 2026-08-26 22:18:13 | datamodel.py:from_file:1558 | Loading TiltImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Tiltimg_B_1_DET01.fits
    INFO | 2026-08-26 22:18:13 | datamodel.py:from_file:1558 | Loading SlitTraceSet from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Slits_B_1_DET01.fits.gz
    INFO | 2026-08-26 22:18:13 | datamodel.py:from_file:1558 | Loading WaveCalib from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/WaveCalib_B_1_DET01.fits
    INFO | 2026-08-26 22:18:13 | datamodel.py:from_file:1558 | Loading WaveTilts from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Tilts_B_1_DET01.fits
    INFO | 2026-08-26 22:18:14 | datamodel.py:from_file:1558 | Loading Alignments from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Alignment_B_1_DET01.fits
    INFO | 2026-08-26 22:18:14 | datamodel.py:from_file:1558 | Loading ScatteredLight from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/ScatteredLight_B_1_DET01.fits.gz
    INFO | 2026-08-26 22:18:14 | datamodel.py:from_file:1558 | Loading FlatImages from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Flat_B_1_DET01.fits
    INFO | 2026-08-26 22:18:16 | calibrations.py:run_the_steps:1459 | Calibration complete and/or fully loaded!
    INFO | 2026-08-26 22:18:16 | calibrations.py:run_the_steps:1460 | #######################################################################
    INFO | 2026-08-26 22:18:16 | exposure.py:process_exposure:126 | Reducing detector 1
    INFO | 2026-08-26 22:18:16 | datamodel.py:from_file:1558 | Loading BiasImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Bias_B_1_DET01.fits
 WARNING | 2026-08-26 22:18:16 | calibrations.py:get_dark:606 | No raw dark frames found and unable to identify a relevant processed calibration frame.  Continuing...
    INFO | 2026-08-26 22:18:16 | keck_kcwi.py:get_rawimage:1426 | Reading KCWI file: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/fits/by_night/RM2/2025-01-01/KR.20250102.48933.18.fits
    INFO | 2026-08-26 22:18:16 | datamodel.py:from_file:1558 | Loading ArcImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Arc_B_1_DET01.fits
    INFO | 2026-08-26 22:18:16 | datamodel.py:from_file:1558 | Loading TiltImage from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Tiltimg_B_1_DET01.fits
    INFO | 2026-08-26 22:18:16 | datamodel.py:from_file:1558 | Loading SlitTraceSet from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/Slits_B_1_DET01.fits.gz
    INFO | 2026-08-26 22:18:16 | datamodel.py:from_file:1558 | Loading WaveCalib from /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM2 pypeit run/2025-01-01/pypeit_run/keck_kcrm_B/Calibrations/WaveCalib_B_1_DET01.fits
