    INFO | 2026-08-23 17:43:14 | pypeitsetup.py:from_file_root:197 | Found 42 keck_kcrm raw files.
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:206 | Building metadata for 42 files.
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.37769.30.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.37930.19.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.38110.74.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.38271.90.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.38452.45.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.38613.61.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.38846.17.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.39007.33.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.39303.13.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.40502.65.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.40805.59.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.41104.45.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.56603.56.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.56903.44.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.58480.36.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.58882.24.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.59284.14.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.59978.76.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.60079.74.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.60181.74.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.60283.74.fits
    INFO | 2026-08-23 17:43:14 | metadata.py:_build:235 | Adding metadata for KR.20231109.60384.72.fits
